"","Depth","InSample","OutOfSample","Gap","NormOut","NormGap","Score"
"1",1,0.759015735746445,0.765156918687589,0.00614118294114419,0,1,-1
"2",2,0.760085588195961,0.765691868758916,0.00560628056295454,0.0166666666666657,0.911752209047062,-0.895085542380396
"3",3,0.760085588195961,0.765691868758916,0.00560628056295454,0.0166666666666657,0.911752209047062,-0.895085542380396
"4",4,0.765925199482905,0.770149786019971,0.00422458653706681,0.155555555555553,0.683801370671406,-0.528245815115852
"5",5,0.765925199482905,0.770149786019971,0.00422458653706681,0.155555555555553,0.683801370671406,-0.528245815115852
"6",6,0.78286452993358,0.780492154065621,0.00237237586795946,0.477777777777777,0.378225051341164,0.0995527264366134
"7",7,0.790398074265591,0.790477888730385,7.98144647943255e-05,0.788888888888887,0,0.788888888888887
"8",8,0.790843846119556,0.790299572039943,0.000544274079613105,0.783333333333332,0.0766261969769698,0.706707136356362
"9",9,0.791779967012883,0.793865905848787,0.00208593883590469,0.894444444444444,0.330968885811484,0.56347555863296
"10",10,0.793340168501761,0.793865905848787,0.000525737347026656,0.894444444444444,0.0735680208144785,0.820876423629965
"11",11,0.794900369990639,0.791726105563481,0.00317426442715807,0.827777777777778,0.510520021087253,0.317257756690524
"12",12,0.797173806445861,0.791191155492154,0.00598265095370698,0.811111111111108,0.973845512270742,-0.162734401159633
"13",13,0.798154504524584,0.792974322396576,0.00518018212800808,0.866666666666664,0.841454810595046,0.0252118560716178
"14",14,0.801364061873133,0.795827389443652,0.00553667242948142,0.955555555555555,0.900268311682182,0.0552872438733725
"15",15,0.801943565283288,0.79725392296719,0.00468964231609825,1,0.760525922370579,0.239474077629421
